Stadium,Opportunity_Score
Kyle Field,73862.6236544757
Michigan Stadium,63587.76239980033
Beaver Stadium,62024.499677731576
AT&T Stadium,42055.750280865854
MetLife Stadium,30261.91889288361
Dodger Stadium,28341.58473989863
Yankee Stadium,23755.359950684924
SoFi Stadium,21743.528061227527
Wrigley Field,21610.808288609926
Fenway Park,16800.13840056141
Madison Square Garden,10180.596479718864
Crypto.com Arena,8802.681749432222
T-Mobile Arena,7944.380810039466
United Center,6645.02088423782
Honda Center,6405.722658767659
